id;manufacturer_name;reference;supplier_reference;ean13;description.language
2098;Natural Dog Snacks;2316;2316;8,43512E+12;"<P>Alimento complementario para perros.</P>
<P><STRONG>Composición:</STRONG> Pollo 90%, Glicerina 2%, Sorbitol 3%, Proteínas vegetales (Haba de soja) 2,7%, Almidón de maíz 2%, Sal 0,2%. Aditivos: sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes Analíticos:</STRONG> Proteína bruta 52%, Grasa bruta 3%, Fibra bruta 1%, Materia inorgánica 4,5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> <BR>Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. <BR>Los perros deben estar bajo supervisión mientras comen. <BR>Mantener en lugar fresco y seco. <BR>Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2099;Natural Dog Snacks;2318;2318;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Conejo 70%, Pollo 20%, Glicerina 2%, Sorbitol 3%, Proteínas vegetales (Haba de soja) 2,7%, Almidón de maíz 2%, Sal 0,2%. Aditivos: sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes Analíticos:</STRONG> Proteína bruta 52%, Grasa bruta 3%, Fibra bruta 1%, Materia inorgánica 4,5%, Humedad 18% </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2100;Natural Dog Snacks;2324;2324;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Pollo 81%, Glicerina 4,7%, Proteínas vegetales (Haba de Soja) 4%, Sorbitol 3%, Almidón de maíz 3%, Harina de trigo 2%, Colágeno 2%, Sal 0,2%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína cruda 25%, Grasa cruda 4%, Fibra cruda 1%, Materia inorgánica 5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación</STRONG>: Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2101;Natural Dog Snacks;2326;2326;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Pato 81%, Glicerina 4,7%, Proteínas vegetales (Haba de Soja) 4%, Sorbitol 3%, Almidón de maíz 3%, Harina de trigo 2%, Colágeno 2%, Sal 0,2%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína cruda 25%, Grasa cruda 4%, Fibra cruda 1%, Materia inorgánica 5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2102;Natural Dog Snacks;2330;2330;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Salmón 82%, Piel de pescado 10%, Almidón 3,7%, Glicerina 2%, Sorbitol 2%, Sal 0,2%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína bruta 35%, Grasa bruta 5,5%, Fibra bruta 1,2%, Materia inorgánica 5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2103;Natural Dog Snacks;2327;2327;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Pollo 55,3%, Tubo faríngeo de ternera 28%, Proteínas vegetales (Haba de Soja) 5%, Glicerina 4,4%, Sorbitol 3,3%, Almidón de maíz 2,7%, Harina de trigo 1%, Sal 0,2%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína bruta 38%, Grasa bruta 3%, Fibra bruta 1%, Materia inorgánica 5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2104;Natural Dog Snacks;2328;2328;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Carne de Ternera 50%, Bacalao 30%, Fécula de patata 6%, Sorbitol 5,5%, Glicerina 4,6%, Proteínas vegetales (Haba de Soja) 3,8%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína cruda 32%, Grasa cruda 5%, Fibra cruda 1%, Materia inorgánica 4%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2105;Natural Dog Snacks;2334;2334;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Ternera 30%, Bacalao 15%, Piel de vacuno 44%, Sorbitol 2,5%, Glicerina 2,5%, Fécula de patata 2,1%, Proteínas vegetales (Haba de Soja) 1,8%, Aditivos: Sorbato potásico 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína bruta 56%, Grasa bruta 3,5%, Fibra bruta 1,5%, Materia inorgánica 4%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2106;Creamy Cat Treats;4234;4234;8,43512E+12;"<P>Alimento complementario para gatos de más de 3 meses de edad. &nbsp;</P>
<P><STRONG><FONT color=#008000>POLLO</FONT></STRONG><BR><STRONG>INGREDIENTES:</STRONG> Pollo 88,42%, Almidón (mandioca) 7,53%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,53%. </P>
<P><STRONG><FONT color=#008000>ATÚN Y SALMÓN</FONT> <BR>INGREDIENTES</STRONG>: Atún 59,95%, Pollo 16,48%, Salmón 10,99%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,43%. </P>
<P><STRONG><FONT color=#008000>ATÚN Y BACALAO<BR></FONT>INGREDIENTES:</STRONG> Atún 51,9%, Bacalao 18,7%, Pollo 15,9%, Almidón (mandioca) 11,65%, Celulosa 0,27%. Aditivos: Goma xantana (E 415) 1,35%, Extracto de té verde 0,01%, Taurina (3a370) 0,21%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. </P>
<P><STRONG><FONT color=#008000>POLLO Y CANGREJO <BR></FONT>INGREDIENTES:</STRONG> Pollo 77,5%, Cangrejo 11,25%, Almidón (mandioca) 10%. Aditivos: Taurina (3a370) 0,155%, Extracto de té verde 0,005%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%, Goma xantana (E 415) 1,08%. </P>
<P><STRONG><FONT color=#008000>SALMÓN </FONT><BR>INGREDIENTES:</STRONG> Salmón 70,94%, Pollo 16,48%, Almidón (mandioca) 7,53%, Aceite de linaza 1,10%. Aditivos: Taurina (3a370) 2,51%, Vitaminas (A 3a672a, B2 3a825i, B3 3a314, B5 3a841, D3 3a671, E 3a700) 0,01%. Goma xantana (E 415) 1,43%. </P>
<P><STRONG>COMPONENTES ANALÍTICOS:</STRONG> Proteína bruta: 6,5%, Grasa bruta: 0,1%, Fibra bruta: 1%, materia inorgánica: 2%, Humedad: 90%. </P>
<P><STRONG>INSTRUCCIONES DE USO:</STRONG> Utilizar como un premio entre comidas. Los gatos deben estar bajo supervisión mientras comen. Mantenga siempre agua limpia y fresca a su disposición. </P>
<P><STRONG>CONSERVACIÓN:</STRONG> Mantener en lugar fresco y seco. </P>
<P><STRONG>PRECAUCIONES:</STRONG> No apto para consumo humano.</P>"
2109;Natural Dog Snacks;2317;2317;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Pato 90%, Glicerina 2%, Sorbitol 3%, Proteínas vegetales (Haba de soja) 2,7%, Almidón de maíz 2%, Sal 0,2%. Aditivos: sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes Analíticos:</STRONG> Proteína bruta 52%, Grasa bruta 3%, Fibra bruta 1%, Materia inorgánica 4,5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2110;Natural Dog Snacks;2319;2319;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Salmón 89%, Glicerina 3%, Sorbitol 3%, Almidón de maíz 3%, Proteínas vegetales (Haba de Soja) 1,7%, Sal 0,2%. Aditivos: sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína cruda: 48%, Grasa cruda: 3%, Fibra cruda 1%, Materia inorgánica 4,5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación</STRONG>: Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2111;Natural Dog Snacks;2322;2322;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Pollo 57%, Pato 25,2%, Glicerina 4%, Sorbitol 3,2%, Almidón de maíz 3%, Proteínas vegetales (Haba de Soja 3%, Cacahuete 3%), Harina de trigo 1,3%, Sal 0,2%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína bruta 50%, Grasa bruta 3%, Fibra bruta 1%, Materia inorgánica 4,5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
2112;Natural Dog Snacks;2323;2323;8,43512E+12;"<P>Alimento complementario para perros. </P>
<P><STRONG>Composición:</STRONG> Pollo 21%, Pato 21%, Ternera 21%, Piel Bovina 20%, Glicerina 4,2%, Sorbitol 3,1%, Almidón de maíz 2%, Proteínas vegetales (Haba de Soja 3,2%, Cacahuete 2,2%), Harina de trigo 2%, Sal 0,2%. Aditivos: Sorbato de potasio 0,1% (1k202). </P>
<P><STRONG>Componentes analíticos:</STRONG> Proteína bruta 45%, Grasa bruta 2%, Fibra bruta 1%, Materia inorgánica 5%, Humedad 18%. </P>
<P><STRONG>Instrucciones de alimentación:</STRONG> Suministrar como un premio en cualquier momento, dentro de una dieta equilibrada. Los perros deben estar bajo supervisión mientras comen. Mantener en lugar fresco y seco. Suministrar siempre agua en abundancia. </P>
<P>NO APTO PARA CONSUMO HUMANO.</P>"
